draw_index,draw_date,lottery_type,window,entropy,cross_entropy_ratio,cross_sync_index,entropy_gradient,collapse_flag
110000168,2021-07-15T00:00:00,DAILY_539,30,0.9582895118527373,0.9875616013563568,0.11455108359133127,,0
110000168,2021-07-15T00:00:00,DAILY_539,150,0.9917010427707644,0.9970405204109526,0.05263157894736842,,0
110000168,2021-07-15T00:00:00,DAILY_539,500,0.9971203196437205,0.9984245182010744,0.11455108359133127,,0
110000056,2021-07-15T00:00:00,POWER_LOTTO,30,0.9742851690771765,1.0123901176523336,0.08187134502923976,,0
110000056,2021-07-15T00:00:00,POWER_LOTTO,150,0.9958477740018039,1.0033009882632171,0.02631578947368421,,0
110000056,2021-07-15T00:00:00,POWER_LOTTO,500,0.9985241757019367,1.0005334315007124,0.17647058823529413,,0
110000171,2021-07-19T00:00:00,DAILY_539,30,0.959522727400267,0.9889328663665696,0.11455108359133127,0.0012332155475297535,0
110000171,2021-07-19T00:00:00,DAILY_539,150,0.9923735193645901,0.9977329770095412,0.02631578947368421,0.0006724765938256327,0
110000171,2021-07-19T00:00:00,DAILY_539,500,0.9972281182326506,0.9985115723507962,0.1437908496732026,0.00010779858893006367,0
110000057,2021-07-19T00:00:00,POWER_LOTTO,30,0.9758466385820247,1.0142894491860261,0.08187134502923976,0.0015614695048481453,0
110000057,2021-07-19T00:00:00,POWER_LOTTO,150,0.9958812931820298,1.0030283942467015,0.0,3.3519180225871636e-05,0
110000057,2021-07-19T00:00:00,POWER_LOTTO,500,0.9985321902321765,1.000470505084406,0.17647058823529413,8.014530239797146e-06,0
110000174,2021-07-22T00:00:00,DAILY_539,30,0.9703577154296578,0.9982937875587115,0.08187134502923976,0.010834988029390757,0
110000174,2021-07-22T00:00:00,DAILY_539,150,0.9933232295517381,0.9988136723107298,0.05263157894736842,0.0009497101871480673,0
110000174,2021-07-22T00:00:00,DAILY_539,500,0.997261213276435,0.9985472449064788,0.11455108359133127,3.3095043784459044e-05,0
110000058,2021-07-22T00:00:00,POWER_LOTTO,30,0.9794791941445644,1.0124282229921355,0.02631578947368421,0.003632555562539719,0
110000058,2021-07-22T00:00:00,POWER_LOTTO,150,0.9960447013667316,1.0029224424670902,0.02631578947368421,0.00016340818470184093,0
110000058,2021-07-22T00:00:00,POWER_LOTTO,500,0.9985368575452159,1.00046347484175,0.17647058823529413,4.667313039385945e-06,0
110000177,2021-07-26T00:00:00,DAILY_539,30,0.964205120847332,0.9919136447833332,0.18055555555555555,-0.006152594582325754,0
110000177,2021-07-26T00:00:00,DAILY_539,150,0.9923957527124451,0.997844187067488,0.08187134502923976,-0.0009274768392930621,0
110000177,2021-07-26T00:00:00,DAILY_539,500,0.997046868760836,0.9983287109963397,0.1513157894736842,-0.00021434451559898537,0
110000059,2021-07-26T00:00:00,POWER_LOTTO,30,0.9796195745294989,1.015825250744685,0.1111111111111111,0.0001403803849344687,0
110000059,2021-07-26T00:00:00,POWER_LOTTO,150,0.9958795650557674,1.003104032351927,0.05555555555555555,-0.0001651363109642645,0
110000059,2021-07-26T00:00:00,POWER_LOTTO,500,0.9985297931795883,1.0005563704404543,0.21323529411764708,-7.064365627584834e-06,0
110000180,2021-07-29T00:00:00,DAILY_539,30,0.963513597965863,0.9897366612505369,0.1111111111111111,-0.0006915228814690089,0
110000180,2021-07-29T00:00:00,DAILY_539,150,0.9922918548327083,0.9976927827229101,0.08187134502923976,-0.00010389787973674736,0
110000180,2021-07-29T00:00:00,DAILY_539,500,0.996954124295797,0.9982336941843455,0.1513157894736842,-9.274446503904077e-05,0
