relative_path,path,size_bytes,mtime_epoch,mtime_utc
.claude/worktrees/amazing-jepsen-b0a5b8/data/lottery.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/data/lottery.db,28672,1780293376,2026-06-01T05:56:16.394655+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/data/lottery_v2.db,217088,1780293376,2026-06-01T05:56:16.395681+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/lottery-api/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/lottery-api/data/lottery_v2.db,28672,1780293376,2026-06-01T05:56:16.545459+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/lottery.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/lottery.db,0,1780293376,2026-06-01T05:56:16.545644+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/lottery_api/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/lottery_api/data/lottery_v2.db,44261376,1780293376,2026-06-01T05:56:16.742161+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/lottery_v2.db,0,1780293376,2026-06-01T05:56:16.824334+00:00
.claude/worktrees/amazing-jepsen-b0a5b8/tools/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/amazing-jepsen-b0a5b8/tools/data/lottery_v2.db,28672,1780293379,2026-06-01T05:56:19.351346+00:00
.claude/worktrees/clever-villani-2f0ef7/data/lottery.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/data/lottery.db,28672,1779191995,2026-05-19T11:59:55.635595+00:00
.claude/worktrees/clever-villani-2f0ef7/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/data/lottery_v2.db,217088,1779191995,2026-05-19T11:59:55.636368+00:00
.claude/worktrees/clever-villani-2f0ef7/lottery-api/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/lottery-api/data/lottery_v2.db,28672,1779191995,2026-05-19T11:59:55.701039+00:00
.claude/worktrees/clever-villani-2f0ef7/lottery.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/lottery.db,0,1779191995,2026-05-19T11:59:55.701088+00:00
.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db,14958592,1779192515,2026-05-19T12:08:35.134474+00:00
.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db-shm,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db-shm,32768,1779196195,2026-05-19T13:09:55.484055+00:00
.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db-wal,/Users/kelvin/Kelvin-WorkSpace/LotteryNew/.claude/worktrees/clever-villani-2f0ef7/lottery_api/data/lottery_v2.db-wal,0,1779192519,2026-05-19T12:08:39.089460+00:00
