strategy_id,metric_scope,ticket_count,from_ticket_count,to_ticket_count,m4plus_rate,m4plus_rate_per_ticket,incremental_m4plus_rate,incremental_m4plus_rate_per_5_added_tickets,additional_portfolios_succeeding_per_1000_draws,extra_tickets_per_additional_m4plus_success,status,denominator
acb_hot_fourier_3bet_biglotto,ticket_count,10,,,0.013333333333333334,0.0013333333333333335,,,,,COUNT_RATE,evaluated draw portfolios
acb_hot_fourier_3bet_biglotto,ticket_count,15,,,0.015308641975308642,0.0010205761316872427,,,,,COUNT_RATE,evaluated draw portfolios
acb_hot_fourier_3bet_biglotto,ticket_count,20,,,0.017777777777777778,0.0008888888888888889,,,,,COUNT_RATE,evaluated draw portfolios
apriori_3bet_biglotto,ticket_count,10,,,0.006419753086419753,0.0006419753086419753,,,,,COUNT_RATE,evaluated draw portfolios
apriori_3bet_biglotto,ticket_count,15,,,0.009876543209876543,0.0006584362139917695,,,,,COUNT_RATE,evaluated draw portfolios
apriori_3bet_biglotto,ticket_count,20,,,0.012839506172839505,0.0006419753086419753,,,,,COUNT_RATE,evaluated draw portfolios
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,ticket_count,10,,,0.008888888888888889,0.0008888888888888889,,,,,COUNT_RATE,evaluated draw portfolios
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,ticket_count,15,,,0.014320987654320988,0.0009547325102880658,,,,,COUNT_RATE,evaluated draw portfolios
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,ticket_count,20,,,0.016296296296296295,0.0008148148148148148,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_10bet_combined,ticket_count,10,,,0.007901234567901235,0.0007901234567901235,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_10bet_combined,ticket_count,15,,,0.013827160493827161,0.0009218106995884774,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_10bet_combined,ticket_count,20,,,0.017777777777777778,0.0008888888888888889,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_5bet_orthogonal,ticket_count,10,,,0.007407407407407408,0.0007407407407407408,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_5bet_orthogonal,ticket_count,15,,,0.012345679012345678,0.0008230452674897119,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_5bet_orthogonal,ticket_count,20,,,0.016296296296296295,0.0008148148148148148,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_deviation_2bet,ticket_count,10,,,0.007901234567901235,0.0007901234567901235,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_deviation_2bet,ticket_count,15,,,0.012345679012345678,0.0008230452674897119,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_deviation_2bet,ticket_count,20,,,0.01580246913580247,0.0007901234567901235,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_echo_aware_3bet,ticket_count,10,,,0.009876543209876543,0.0009876543209876543,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_echo_aware_3bet,ticket_count,15,,,0.014814814814814815,0.0009876543209876543,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_echo_aware_3bet,ticket_count,20,,,0.02123456790123457,0.0010617283950617284,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_p0_2bet,ticket_count,10,,,0.006913580246913581,0.0006913580246913581,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_p0_2bet,ticket_count,15,,,0.01037037037037037,0.000691358024691358,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_p0_2bet,ticket_count,20,,,0.012839506172839505,0.0006419753086419753,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_triple_strike,ticket_count,10,,,0.008888888888888889,0.0008888888888888889,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_triple_strike,ticket_count,15,,,0.013827160493827161,0.0009218106995884774,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_triple_strike,ticket_count,20,,,0.020246913580246915,0.0010123456790123457,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_ts3_acb_4bet,ticket_count,10,,,0.012839506172839505,0.0012839506172839506,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_ts3_acb_4bet,ticket_count,15,,,0.017777777777777778,0.0011851851851851852,,,,,COUNT_RATE,evaluated draw portfolios
biglotto_ts3_acb_4bet,ticket_count,20,,,0.023703703703703703,0.0011851851851851852,,,,,COUNT_RATE,evaluated draw portfolios
