rank,strategy_id,effective_strategy_id,governance_status,independent_algorithm_id,equivalence_group,ticket_count,evaluated_draws,common_window_draws,strategy_replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,m4plus_confidence_interval_95,confidence_method,random_m4plus_hits,random_m4plus_rate,random_confidence_interval_95,paired_difference_vs_random,paired_difference_interval_95,paired_p_value,multiplicity_adjusted_p_value,bh_fdr_adjusted_p_value,credible_advantage_unadjusted,credible_advantage_adjusted,runtime_seconds
1,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,REJECTED,biglotto_ts3_acb_4bet,ts3_acb_aliases,15,2025,2025,1,2025,1.0,36,0.017777777777777778,"[0.012868790714,0.024512867912]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",0.002469135802469135,"[-0.003012345679,0.008395061728]",0.21507293398315722,1.0,0.998102049628845,False,False,25.251622
2,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,UNKNOWN,predict_biglotto_mixed_3bet,,15,2025,2025,1,2025,1.0,33,0.016296296296296295,"[0.011627193628,0.022797112183]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",0.0009876543209876535,"[-0.004296296296,0.007061728395]",0.37549449606228774,1.0,0.998102049628845,False,False,17.470179
3,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,REJECTED,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,15,2025,2025,1,2025,1.0,32,0.01580246913580247,"[0.011215764406,0.022222757133]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",0.0004938271604938264,"[-0.004691358025,0.006370370370]",0.4395951001990588,1.0,0.998102049628845,False,False,29.887318
4,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,REJECTED,acb_hot_fourier_3bet_biglotto,,15,2025,2025,1,2025,1.0,31,0.015308641975308642,"[0.010805644274,0.021647092993]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-7.675615972717132e-19,"[-0.005629629630,0.005580246914]",0.5068761777557289,1.0,0.998102049628845,False,False,27.405342
5,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,REJECTED,cold_complement_biglotto,,15,2025,2025,1,2025,1.0,31,0.015308641975308642,"[0.010805644274,0.021647092993]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-7.675615972717132e-19,"[-0.005382716049,0.005679012346]",0.5068760263399683,1.0,0.998102049628845,False,False,23.154501
6,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,DELETED,predict_biglotto_regime,,15,2025,2025,1,2025,1.0,31,0.015308641975308642,"[0.010805644274,0.021647092993]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-7.812680543658509e-19,"[-0.005234567901,0.005481481481]",0.5068555831785915,1.0,0.998102049628845,False,False,22.631092
7,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,RETIRED,biglotto_echo_aware_3bet,,15,2025,2025,1,2025,1.0,30,0.014814814814814815,"[0.010396894145,0.021070058851]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0004938271604938279,"[-0.006123456790,0.005185185185]",0.5758642012803734,1.0,0.998102049628845,False,False,22.875582
8,coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,REJECTED,coldpool15_biglotto,,15,2025,2025,1,2025,1.0,30,0.014814814814814815,"[0.010396894145,0.021070058851]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0004938271604938279,"[-0.005827160494,0.005135802469]",0.576798329482383,1.0,0.998102049628845,False,False,21.413272
9,markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,REJECTED,markov_repeat_exception_biglotto,,15,2025,2025,1,2025,1.0,30,0.014814814814814815,"[0.010396894145,0.021070058851]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0004938271604938279,"[-0.005975308642,0.005382716049]",0.5756356097965226,1.0,0.998102049628845,False,False,21.947737
10,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,15,2025,2025,10,20250,1.0,297,0.014666666666666666,"[0.012987654321,0.016345679012]",draw-cluster bootstrap percentile,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0006419753086419753,"[-0.003061728395,0.001777777778]",0.7159413896950954,1.0,0.998102049628845,False,False,131.771384
